n 	 On Heaps 	 On Arrays
0 	 0.000061 	 0.000011
1820 	 0.024582 	 1.401313
3640 	 0.032336 	 5.214433
5461 	 0.055423 	 11.419670
7281 	 0.072898 	 19.661683
9102 	 0.092824 	 27.252441
10922 	 0.105024 	 39.187086
12743 	 0.114772 	 53.141784
14563 	 0.131390 	 75.251069
16384 	 0.158305 	 87.264057
